🃏,82 / 86,,,,,⬆️,,,
💠,68 / 68,,,,,Show/hide card pull rates,,,
⭐,14 / 17,,,,,,Any A1a,,
👑,0 / 1,,,,,,Mew,,
☑️,Card ID,Card,Carte,Pack,Rarity,Copies,1st – 3rd,4th card,5th card
TRUE,A1a 001,Exeggcute,Noeunoeuf,Mew,💠,4,3.125%,,
TRUE,A1a 002,Exeggutor,Noadkoko,Mew,💠💠,8,,3.913%,2.609%
TRUE,A1a 003,Celebi ex,Celebi ex,Mew,💠💠💠💠,1,,0.333%,1.333%
TRUE,A1a 004,Snivy,Vipélierre,Mew,💠,16,3.125%,,
TRUE,A1a 005,Servine,Lianaja,Mew,💠💠,10,,3.913%,2.609%
TRUE,A1a 006,Serperior,Majaspic,Mew,💠💠💠,2,,0.625%,2.500%
TRUE,A1a 007,Morelull,Spododo,Mew,💠,12,3.125%,,
TRUE,A1a 008,Shiinotic,Lampignon,Mew,💠💠,7,,3.913%,2.609%
TRUE,A1a 009,Dhelmise,Sinistrail,Mew,💠💠,8,,3.913%,2.609%
TRUE,A1a 010,Ponyta,Ponyta,Mew,💠,8,3.125%,,
TRUE,A1a 011,Rapidash,Galopa,Mew,💠💠,8,,3.913%,2.609%
TRUE,A1a 012,Magmar,Magmar,Mew,💠💠,8,,3.913%,2.609%
TRUE,A1a 013,Larvesta,Pyronille,Mew,💠,4,3.125%,,
TRUE,A1a 014,Volcarona,Pyrax,Mew,💠💠💠,3,,0.625%,2.500%
TRUE,A1a 015,Salandit,Tritox,Mew,💠,13,3.125%,,
TRUE,A1a 016,Salazzle,Malamandre,Mew,💠,9,3.125%,,
TRUE,A1a 017,Magikarp,Magicarpe,Mew,💠,10,3.125%,,
TRUE,A1a 018,Gyarados ex,Léviator ex,Mew,💠💠💠💠,1,,0.333%,1.333%
TRUE,A1a 019,Vaporeon,Aquali,Mew,💠💠💠,5,,0.625%,2.500%
TRUE,A1a 020,Finneon,Écayon,Mew,💠,7,3.125%,,
TRUE,A1a 021,Lumineon,Luminéon,Mew,💠💠,6,,3.913%,2.609%
TRUE,A1a 022,Chewtle,Khélocrok,Mew,💠,12,3.125%,,
TRUE,A1a 023,Drednaw,Torgamord,Mew,💠💠,4,,3.913%,2.609%
TRUE,A1a 024,Cramorant,Nigosier,Mew,💠,8,3.125%,,
TRUE,A1a 025,Pikachu,Pikachu,Mew,💠,24,3.125%,,
TRUE,A1a 026,Raichu,Raichu,Mew,💠💠💠,2,,0.625%,2.500%
TRUE,A1a 027,Electabuzz,Élektek,Mew,💠💠,8,,3.913%,2.609%
TRUE,A1a 028,Joltik,Statitik,Mew,💠,21,3.125%,,
TRUE,A1a 029,Galvantula,Mygavolt,Mew,💠💠,9,,3.913%,2.609%
TRUE,A1a 030,Dedenne,Dédenne,Mew,💠,15,3.125%,,
TRUE,A1a 031,Mew,Mew,Mew,💠💠💠,2,,0.625%,2.500%
TRUE,A1a 032,Mew ex,Mew ex,Mew,💠💠💠💠,1,,0.333%,1.333%
TRUE,A1a 033,Sigilyph,Cryptéro,Mew,💠💠,6,,3.913%,2.609%
TRUE,A1a 034,Elgyem,Lewsor,Mew,💠,15,3.125%,,
TRUE,A1a 035,Beheeyem,Neitram,Mew,💠💠,12,,3.913%,2.609%
TRUE,A1a 036,Flabebe,Flabebe,Mew,💠,17,3.125%,,
TRUE,A1a 037,Floette,Floette,Mew,💠,11,3.125%,,
TRUE,A1a 038,Florges,Florges,Mew,💠💠,4,,3.913%,2.609%
TRUE,A1a 039,Swirlix,Sucroquin,Mew,💠,9,3.125%,,
TRUE,A1a 040,Slurpuff,Cupcanaille,Mew,💠,14,3.125%,,
TRUE,A1a 041,Mankey,Férosinge,Mew,💠,7,3.125%,,
TRUE,A1a 042,Primeape,Colosinge,Mew,💠,7,3.125%,,
TRUE,A1a 043,Geodude,Racaillou,Mew,💠,7,3.125%,,
TRUE,A1a 044,Graveler,Gravalanch,Mew,💠💠,4,,3.913%,2.609%
TRUE,A1a 045,Golem,Grolem,Mew,💠💠💠,5,,0.625%,2.500%
TRUE,A1a 046,Aerodactyl ex,Ptéra ex,Mew,💠💠💠💠,2,,0.333%,1.333%
TRUE,A1a 047,Marshadow,Marshadow,Mew,💠💠💠,3,,0.625%,2.500%
TRUE,A1a 048,Stonjourner,Dolman,Mew,💠💠,7,,3.913%,2.609%
TRUE,A1a 049,Koffing,Smogo,Mew,💠,9,3.125%,,
TRUE,A1a 050,Weezing,Smogogo,Mew,💠💠,5,,3.913%,2.609%
TRUE,A1a 051,Purrloin,Chacripan,Mew,💠,3,3.125%,,
TRUE,A1a 052,Liepard,Léopardus,Mew,💠,11,3.125%,,
TRUE,A1a 053,Venipede,Venipatte,Mew,💠,8,3.125%,,
