🃏,75 / 111,,,,,⬆️,,,
💠,61 / 72,,,,,Show/hide card pull rates,,,
⭐,9 / 24,,,,,,Any A1a,,
👑,0 / 1,,,,,,Shinies,,
☑️,Card ID,Card,Carte,Pack,Rarity,Copies,1st – 3rd,4th card,5th card
TRUE,A2b 001,Weedle,Aspicot,Shinies,💠,1,3.125%,,
TRUE,A2b 002,Kakuna,Coconfort,Shinies,💠💠,1,,4.045%,2.545%
TRUE,A2b 003,Beedrill ex,Dardargnan ex,Shinies,💠💠💠💠,1,,0.185%,0.740%
TRUE,A2b 004,Pinsir,Scarabrute,Shinies,💠,1,3.125%,,
TRUE,A2b 005,Sprigatito,Poussacha,Shinies,💠,1,3.125%,,
TRUE,A2b 006,Floragato,Matourgeon,Shinies,💠💠,2,,4.045%,2.545%
TRUE,A2b 007,Meowscarada,Miascarade,Shinies,💠💠💠,1,,0.550%,2.201%
FALSE,A2b 008,Charmander,Salamèche,Shinies,💠,0,3.125%,,
TRUE,A2b 009,Charmeleon,Reptincel,Shinies,💠💠,1,,4.045%,2.545%
FALSE,A2b 010,Charizard ex,Dracaufeu ex,Shinies,💠💠💠💠,0,,0.185%,0.740%
TRUE,A2b 011,Magmar,Magmar,Shinies,💠,1,3.125%,,
TRUE,A2b 012,Magmortar,Maganon,Shinies,💠💠💠,1,,0.550%,2.201%
TRUE,A2b 013,Paldean Tauros,Tauros de Paldea,Shinies,💠💠,1,,4.045%,2.545%
TRUE,A2b 014,Tentacool,Tentacool,Shinies,💠,1,3.125%,,
TRUE,A2b 015,Tentacruel,Tentacruel,Shinies,💠💠,1,,4.045%,2.545%
TRUE,A2b 016,Buizel,Mustébouée,Shinies,💠,3,3.125%,,
TRUE,A2b 017,Floatzel,Mustéflott,Shinies,💠💠,2,,4.045%,2.545%
TRUE,A2b 018,Wiglett,Taupikeau,Shinies,💠,1,3.125%,,
FALSE,A2b 019,Wugtrio ex,Triopikeau ex,Shinies,💠💠💠💠,0,,0.185%,0.740%
FALSE,A2b 020,Dondozo,Oyacata,Shinies,💠💠💠,0,,0.550%,2.201%
TRUE,A2b 021,Tatsugiri,Nigirigon,Shinies,💠💠,1,,4.045%,2.545%
FALSE,A2b 022,Pikachu ex,Pikachu ex,Shinies,💠💠💠💠,0,,0.185%,0.740%
TRUE,A2b 023,Voltorb,Voltorbe,Shinies,💠,1,3.125%,,
TRUE,A2b 024,Electrode,Électrode,Shinies,💠💠,1,,4.045%,2.545%
TRUE,A2b 025,Pachirisu,Pachirisu,Shinies,💠💠,1,,4.045%,2.545%
TRUE,A2b 026,Pawmi,Pohm,Shinies,💠,1,3.125%,,
TRUE,A2b 027,Pawmo,Pohmotte,Shinies,💠💠,1,,4.045%,2.545%
TRUE,A2b 028,Pawmot,Pohmarmotte,Shinies,💠💠💠,1,,0.550%,2.201%
TRUE,A2b 029,Abra,Abra,Shinies,💠,2,3.125%,,
TRUE,A2b 030,Kadabra,Kadabra,Shinies,💠💠,1,,4.045%,2.545%
TRUE,A2b 031,Alakazam,Alakazam,Shinies,💠💠💠,2,,0.550%,2.201%
TRUE,A2b 032,Mr. Mime,M. Mime,Shinies,💠,1,3.125%,,
TRUE,A2b 033,Drifloon,Baudrive,Shinies,💠,1,3.125%,,
TRUE,A2b 034,Drifblim,Grodrive,Shinies,💠💠,1,,4.045%,2.545%
TRUE,A2b 035,Giratina ex,Giratina ex,Shinies,💠💠💠💠,1,,0.185%,0.740%
TRUE,A2b 036,Gimmighoul,Mordudor,Shinies,💠,3,3.125%,,
TRUE,A2b 037,Machop,Machoc,Shinies,💠,1,3.125%,,
TRUE,A2b 038,Machoke,Machopeur,Shinies,💠,2,3.125%,,
FALSE,A2b 039,Machamp,Mackogneur,Shinies,💠💠💠,0,,0.550%,2.201%
TRUE,A2b 040,Hitmonlee,Kicklee,Shinies,💠,1,3.125%,,
TRUE,A2b 041,Hitmonchan,Tygnon,Shinies,💠,4,3.125%,,
TRUE,A2b 042,Riolu,Riolu,Shinies,💠,1,3.125%,,
FALSE,A2b 043,Lucario ex,Lucario ex,Shinies,💠💠💠💠,0,,0.185%,0.740%
TRUE,A2b 044,Flamigo,Flamenroule,Shinies,💠💠,1,,4.045%,2.545%
TRUE,A2b 045,Ekans,Abo,Shinies,💠,1,3.125%,,
TRUE,A2b 046,Arbok,Arbok,Shinies,💠💠,1,,4.045%,2.545%
TRUE,A2b 047,Paldean Wooper,Axoloto de Paldea,Shinies,💠,2,3.125%,,
FALSE,A2b 048,Paldean Clodsire ex,Terraiste de Paldea ex,Shinies,💠💠💠💠,0,,0.185%,0.740%
TRUE,A2b 049,Spiritomb,Spiritomb,Shinies,💠💠,1,,4.045%,2.545%
TRUE,A2b 050,Shroodle,Gribouraigne,Shinies,💠,1,3.125%,,
TRUE,A2b 051,Grafaiai,Tag-Tag,Shinies,💠💠💠,1,,0.550%,2.201%
TRUE,A2b 052,Tinkatink,Forgerette,Shinies,💠,1,3.125%,,
TRUE,A2b 053,Tinkatuff,Forgella,Shinies,💠💠,1,,4.045%,2.545%
FALSE,A2b 054,Tinkaton ex,Forgelina ex,Shinies,💠💠💠💠,0,,0.185%,0.740%
TRUE,A2b 055,Varoom,Vrombi,Shinies,💠,1,3.125%,,
TRUE,A2b 056,Revavroom,Vrombotor,Shinies,💠💠,1,,4.045%,2.545%
FALSE,A2b 057,Gholdengo,Gromago,Shinies,💠💠💠,0,,0.550%,2.201%
TRUE,A2b 058,Rattata,Rattata,Shinies,💠,1,3.125%,,
TRUE,A2b 059,Raticate,Rattatac,Shinies,💠,1,3.125%,,
TRUE,A2b 060,Jigglypuff,Rondoudou,Shinies,💠,1,3.125%,,
TRUE,A2b 061,Wigglytuff,Grodoudou,Shinies,💠💠💠,1,,0.550%,2.201%
TRUE,A2b 062,Lickitung,Excelangue,Shinies,💠,3,3.125%,,
TRUE,A2b 063,Lickilicky,Coudlangue,Shinies,💠,1,3.125%,,
TRUE,A2b 064,Bidoof,Keunotor,Shinies,💠,1,3.125%,,
FALSE,A2b 065,Bibarel ex,Castorno ex,Shinies,💠💠💠💠,0,,0.185%,0.740%
TRUE,A2b 066,Buneary,Laporeille,Shinies,💠,1,3.125%,,
TRUE,A2b 067,Lopunny,Lockpin,Shinies,💠,1,3.125%,,
TRUE,A2b 068,Cyclizar,Motorizard,Shinies,💠💠,1,,4.045%,2.545%
TRUE,A2b 069,Iono,Mashynn,Shinies,💠💠,1,,4.045%,2.545%
